SDR	7.3.15
10/09/2013 01:10:00	1.2	0.7	2.7	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									322	9	0	0	0	0	0	0	17.5	0.1	17.6	17.3	0.0	0.0	0.0	0.0	998.1	0.2	998.1	998.1	80.4	0.3	81.1	79.8	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
10/09/2013 01:20:00	1.3	0.5	2.3	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									329	17	0	0	0	0	0	0	17.4	0.0	17.6	17.3	0.0	0.0	0.0	0.0	997.8	0.1	998.1	998.1	80.7	0.2	81.3	80.0	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
10/09/2013 01:30:00	1.2	0.5	2.3	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									330	14	0	0	0	0	0	0	17.4	0.0	17.6	17.3	0.0	0.0	0.0	0.0	997.8	0.2	998.1	998.1	80.9	0.3	81.5	80.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
10/09/2013 01:40:00	0.6	0.4	1.9	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									330	17	0	0	0	0	0	0	17.3	0.1	17.3	17.3	0.0	0.0	0.0	0.0	997.6	0.2	998.1	998.1	81.2	0.2	81.7	80.6	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
10/09/2013 01:50:00	1.3	0.4	2.3	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									335	9	0	0	0	0	0	0	17.1	0.1	17.3	17.0	0.0	0.0	0.0	0.0	997.4	0.2	998.1	997.1	81.4	0.3	82.2	80.9	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
10/09/2013 02:00:00	0.7	0.3	1.5	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									324	16	0	0	0	0	0	0	17.1	0.0	17.3	17.0	0.0	0.0	0.0	0.0	997.1	0.2	998.1	997.1	81.6	0.2	82.2	81.1	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
10/09/2013 02:10:00	1.0	0.5	2.3	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									330	10	0	0	0	0	0	0	17.1	0.0	17.3	17.0	0.0	0.0	0.0	0.0	996.9	0.2	998.1	997.1	81.8	0.3	82.4	81.3	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
10/09/2013 02:20:00	1.1	0.5	1.9	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									332	11	0	0	0	0	0	0	17.0	0.1	17.0	17.0	0.0	0.0	0.0	0.0	996.7	0.1	997.1	997.1	82.0	0.2	82.8	81.5	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
10/09/2013 02:30:00	0.7	0.4	1.9	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									312	12	0	0	0	0	0	0	16.9	0.0	17.0	17.0	0.0	0.0	0.0	0.0	996.7	0.2	997.1	996.2	82.3	0.3	82.8	81.7	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
10/09/2013 02:40:00	0.5	0.2	1.2	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									296	15	0	0	0	0	0	0	16.9	0.1	17.0	16.7	0.0	0.0	0.0	0.0	996.7	0.1	997.1	997.1	82.6	0.3	83.3	82.0	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
